,restaurantsId,name,averageRating,establishmentTypeAndCuisineTags
8980,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8981,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8982,d19428928,Tanatan Shivaji Park,5.0,Indian
8983,d1014520,Peshawri,4.5,Indian Healthy
8984,d3268182,Nawab Saheb,5.0,Indian
8985,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8986,d16845556,Yeda Republic,5.0,Asian
8987,d6158439,The Brasserie,4.5,Indian International Asian
8988,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8989,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8990,d1138825,Lotus Cafe,4.5,Indian Cafe International
8991,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8992,d1370074,Dakshin Coastal,4.5,Indian
8993,d947165,Flamboyante,4.5,Indian
8994,d5899260,Bombay High,5.0,Bar
8995,d7707818,The Bombay Canteen,4.5,Indian
8996,d1202559,It's Mirchi,4.5,Indian
8997,d4064145,The Arthouse,4.5,Indian International
8998,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8999,d5901185,Fountain Sizzlers,4.5,Indian
9000,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
9001,d21387580,Fiona,5.0,Italian Indian Bar Asian
9002,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
9003,d2034920,Namak,5.0,Indian
9004,d8010527,Saptami,5.0,Indian
9005,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
9006,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
9007,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
9008,d15223662,Ummrao,5.0,Indian
9009,d804433,Kebabs & Kurries,5.0,Indian
9010,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
9011,d21511592,Rasoi Kitchen & Bar,5.0,Indian
9012,d19428928,Tanatan Shivaji Park,5.0,Indian
9013,d1014520,Peshawri,4.5,Indian Healthy
9014,d3268182,Nawab Saheb,5.0,Indian
9015,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
9016,d16845556,Yeda Republic,5.0,Asian
9017,d6158439,The Brasserie,4.5,Indian International Asian
9018,d17609451,Gallery Café,5.0,Indian International Asian Healthy
9019,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
9020,d1138825,Lotus Cafe,4.5,Indian Cafe International
9021,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
9022,d1370074,Dakshin Coastal,4.5,Indian
9023,d947165,Flamboyante,4.5,Indian
9024,d5899260,Bombay High,5.0,Bar
9025,d7707818,The Bombay Canteen,4.5,Indian
9026,d1202559,It's Mirchi,4.5,Indian
9027,d4064145,The Arthouse,4.5,Indian International
9028,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
9029,d5901185,Fountain Sizzlers,4.5,Indian
9030,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
9031,d21387580,Fiona,5.0,Italian Indian Bar Asian
9032,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
9033,d2034920,Namak,5.0,Indian
9034,d8010527,Saptami,5.0,Indian
9035,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
9036,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
9037,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
9038,d15223662,Ummrao,5.0,Indian
9039,d804433,Kebabs & Kurries,5.0,Indian
9040,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
9041,d21511592,Rasoi Kitchen & Bar,5.0,Indian
9042,d19428928,Tanatan Shivaji Park,5.0,Indian
9043,d1014520,Peshawri,4.5,Indian Healthy
9044,d3268182,Nawab Saheb,5.0,Indian
9045,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
9046,d16845556,Yeda Republic,5.0,Asian
9047,d6158439,The Brasserie,4.5,Indian International Asian
9048,d17609451,Gallery Café,5.0,Indian International Asian Healthy
9049,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
9050,d1138825,Lotus Cafe,4.5,Indian Cafe International
9051,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
9052,d1370074,Dakshin Coastal,4.5,Indian
9053,d947165,Flamboyante,4.5,Indian
9054,d5899260,Bombay High,5.0,Bar
9055,d7707818,The Bombay Canteen,4.5,Indian
9056,d1202559,It's Mirchi,4.5,Indian
9057,d4064145,The Arthouse,4.5,Indian International
9058,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
9059,d5901185,Fountain Sizzlers,4.5,Indian
9060,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
9061,d21387580,Fiona,5.0,Italian Indian Bar Asian
9062,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
9063,d2034920,Namak,5.0,Indian
9064,d8010527,Saptami,5.0,Indian
9065,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
9066,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
9067,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
9068,d15223662,Ummrao,5.0,Indian
9069,d804433,Kebabs & Kurries,5.0,Indian
9070,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
9071,d21511592,Rasoi Kitchen & Bar,5.0,Indian
9072,d19428928,Tanatan Shivaji Park,5.0,Indian
9073,d1014520,Peshawri,4.5,Indian Healthy
9074,d3268182,Nawab Saheb,5.0,Indian
9075,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
9076,d16845556,Yeda Republic,5.0,Asian
9077,d6158439,The Brasserie,4.5,Indian International Asian
9078,d17609451,Gallery Café,5.0,Indian International Asian Healthy
9079,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
9080,d1138825,Lotus Cafe,4.5,Indian Cafe International
9081,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
9082,d1370074,Dakshin Coastal,4.5,Indian
9083,d947165,Flamboyante,4.5,Indian
9084,d5899260,Bombay High,5.0,Bar
9085,d7707818,The Bombay Canteen,4.5,Indian
9086,d1202559,It's Mirchi,4.5,Indian
9087,d4064145,The Arthouse,4.5,Indian International
9088,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
9089,d5901185,Fountain Sizzlers,4.5,Indian
9090,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
9091,d21387580,Fiona,5.0,Italian Indian Bar Asian
9092,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
9093,d2034920,Namak,5.0,Indian
9094,d8010527,Saptami,5.0,Indian
9095,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
9096,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
9097,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
9098,d15223662,Ummrao,5.0,Indian
9099,d804433,Kebabs & Kurries,5.0,Indian
9100,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
9101,d21511592,Rasoi Kitchen & Bar,5.0,Indian
9102,d19428928,Tanatan Shivaji Park,5.0,Indian
9103,d1014520,Peshawri,4.5,Indian Healthy
9104,d3268182,Nawab Saheb,5.0,Indian
9105,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
9106,d16845556,Yeda Republic,5.0,Asian
9107,d6158439,The Brasserie,4.5,Indian International Asian
9108,d17609451,Gallery Café,5.0,Indian International Asian Healthy
9109,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
9110,d1138825,Lotus Cafe,4.5,Indian Cafe International
